week,commits,additions,additions_per_commit,user1,user2,user3,user4
1483833600,1,2,2,1,0,0,0
1484438400,7,16,2,0,4,3,0
1485043200,0,0,0,0,0,0,0
1485648000,4,1,0,0,0,4,0
1486252800,1,61566,61566,1,0,0,0
1486857600,14,1370,97,5,3,6,0
1487462400,25,11743,469,4,2,19,0
1488067200,12,128,10,1,2,9,0
1488672000,17,466,27,0,16,1,0
1489276800,0,0,0,0,0,0,0
1489881600,4,66,16,0,0,4,0
1490486400,43,2257,52,5,11,27,0
1491091200,5,234,46,0,0,5,0
1491696000,2,68,34,0,1,1,0
1492300800,0,0,0,0,0,0,0
1492905600,0,0,0,0,0,0,0
